video,video_frame,global_frame,track_id,cls_id,class_name,direction,delta,count_after,center_x,center_y,conf
output.mp4,42718,42718,933,0,Bactrocera dorsalis,enter,1,25,1330.37,723.09,0.9307
output.mp4,43694,43694,971,0,Bactrocera dorsalis,enter,1,26,1330.58,698.35,0.9355
output.mp4,44465,44465,977,0,Bactrocera dorsalis,enter,1,27,1329.44,752.9,0.9189
output.mp4,45246,45246,992,0,Bactrocera dorsalis,enter,1,28,1320.89,688.7,0.9292
output.mp4,45273,45273,992,0,Bactrocera dorsalis,exit,-1,27,1087.89,608.74,0.9399
output.mp4,45304,45304,992,0,Bactrocera dorsalis,enter,1,28,1049.48,661.14,0.9375
output.mp4,45535,45535,993,0,Bactrocera dorsalis,enter,1,29,1315.39,795.0,0.7827
output.mp4,45703,45703,999,0,Bactrocera dorsalis,enter,1,30,1224.53,866.82,0.937
output.mp4,45711,45711,993,0,Bactrocera dorsalis,exit,-1,29,1321.02,660.79,0.9312
output.mp4,45768,45768,999,0,Bactrocera dorsalis,exit,-1,28,1220.03,871.47,0.9126
output.mp4,46759,46759,1011,0,Bactrocera dorsalis,enter,1,29,1234.53,585.87,0.9375
output.mp4,46831,46831,1011,0,Bactrocera dorsalis,exit,-1,28,1052.98,647.97,0.9292
output.mp4,46907,46907,1011,0,Bactrocera dorsalis,enter,1,29,1037.5,750.09,0.9468
output.mp4,47137,47137,1013,0,Bactrocera dorsalis,enter,1,30,1295.86,816.85,0.9312
output.mp4,47224,47224,1013,0,Bactrocera dorsalis,exit,-1,29,1219.04,577.65,0.9458
output.mp4,47756,47756,1013,0,Bactrocera dorsalis,enter,1,30,1113.42,855.33,0.9272
output.mp4,47763,47763,1013,0,Bactrocera dorsalis,exit,-1,29,1171.07,876.53,0.9482
output.mp4,49296,49296,1039,0,Bactrocera dorsalis,enter,1,30,1332.26,711.06,0.9292
output.mp4,49522,49522,1039,0,Bactrocera dorsalis,exit,-1,29,1192.8,573.45,0.9326
output.mp4,49994,49994,1039,0,Bactrocera dorsalis,enter,1,30,1190.47,869.55,0.9331
output.mp4,50076,50076,991,0,Bactrocera dorsalis,enter,1,31,1299.87,813.62,0.9414
output.mp4,50079,50079,1039,0,Bactrocera dorsalis,exit,-1,30,1181.69,568.35,0.9248
output.mp4,50481,50481,1055,0,Bactrocera dorsalis,enter,1,31,1208.0,577.01,0.9214
output.mp4,50535,50535,1055,0,Bactrocera dorsalis,exit,-1,30,1202.02,573.54,0.9434
output.mp4,50702,50702,1055,0,Bactrocera dorsalis,enter,1,31,1156.35,576.85,0.938
output.mp4,50721,50721,991,0,Bactrocera dorsalis,exit,-1,30,1040.32,775.76,0.9434
output.mp4,50864,50864,1055,0,Bactrocera dorsalis,exit,-1,29,1094.67,600.65,0.9316
output.mp4,50890,50890,1055,0,Bactrocera dorsalis,enter,1,30,1064.47,633.5,0.9341
output.mp4,50891,50891,1055,0,Bactrocera dorsalis,exit,-1,29,1063.8,634.07,0.9346
output.mp4,50892,50892,1055,0,Bactrocera dorsalis,enter,1,30,1063.55,634.68,0.9326
output.mp4,52627,52627,991,0,Bactrocera dorsalis,enter,1,31,1040.22,687.65,0.9097
output.mp4,54714,54714,1094,0,Bactrocera dorsalis,enter,1,32,1321.64,673.7,0.6245
output.mp4,54840,54840,1094,0,Bactrocera dorsalis,exit,-1,31,1198.02,569.09,0.9414
output.mp4,55659,55659,1101,0,Bactrocera dorsalis,enter,1,32,1094.5,842.98,0.9175
output.mp4,58875,58875,1132,0,Bactrocera dorsalis,enter,1,33,1326.89,716.51,0.9443
output.mp4,62250,62250,1145,0,Bactrocera dorsalis,enter,1,34,1244.81,860.69,0.9282
output.mp4,62267,62267,1145,0,Bactrocera dorsalis,exit,-1,33,1103.07,850.32,0.9512
output.mp4,62962,62962,1149,0,Bactrocera dorsalis,enter,1,34,1327.92,732.29,0.9316
output.mp4,63119,63119,1154,0,Bactrocera dorsalis,enter,1,35,1182.18,576.47,0.9395
output.mp4,63683,63683,1161,0,Bactrocera dorsalis,enter,1,36,1321.1,767.66,0.9331
output.mp4,63722,63722,1154,0,Bactrocera dorsalis,exit,-1,35,1035.61,698.75,0.9414
output.mp4,63926,63926,1161,0,Bactrocera dorsalis,exit,-1,34,1064.56,633.06,0.9336
output.mp4,63952,63952,1161,0,Bactrocera dorsalis,enter,1,35,1049.85,657.35,0.9312
output.mp4,63985,63985,1154,0,Bactrocera dorsalis,enter,1,36,1038.41,759.0,0.936
output.mp4,64585,64585,1172,0,Bactrocera dorsalis,enter,1,37,1277.49,838.23,0.9321
output.mp4,65234,65234,1187,0,Bactrocera dorsalis,enter,1,38,1129.92,592.32,0.9375
output.mp4,65358,65358,1192,0,Bactrocera dorsalis,enter,1,39,1327.81,696.3,0.9399
output.mp4,65371,65371,1187,0,Bactrocera dorsalis,exit,-1,38,1226.95,871.11,0.9341
output.mp4,65504,65504,1192,0,Bactrocera dorsalis,exit,-1,37,1057.33,804.57,0.9443
output.mp4,65648,65648,1188,0,Bactrocera dorsalis,enter,1,38,1327.43,691.41,0.9424
output.mp4,65648,65648,1183,0,Bactrocera dorsalis,enter,1,39,1271.12,840.97,0.9424
output.mp4,66087,66087,1201,0,Bactrocera dorsalis,enter,1,40,1120.38,853.87,0.918
output.mp4,66171,66171,1188,0,Bactrocera dorsalis,exit,-1,39,1268.32,848.6,0.916
output.mp4,66346,66346,1193,0,Bactrocera dorsalis,enter,1,40,1050.61,656.65,0.9292
output.mp4,67054,67054,1210,0,Bactrocera dorsalis,enter,1,41,1317.82,791.31,0.9541
output.mp4,67057,67057,1210,0,Bactrocera dorsalis,exit,-1,40,1317.73,792.75,0.9277
output.mp4,67058,67058,1210,0,Bactrocera dorsalis,enter,1,41,1314.42,795.21,0.9424
output.mp4,67153,67153,1210,0,Bactrocera dorsalis,exit,-1,40,1039.42,770.44,0.9229
output.mp4,67232,67232,1210,0,Bactrocera dorsalis,enter,1,41,1095.54,607.23,0.9185
output.mp4,67239,67239,1213,0,Bactrocera dorsalis,enter,1,42,1324.46,773.75,0.9326
output.mp4,67250,67250,1213,0,Bactrocera dorsalis,exit,-1,41,1287.88,836.23,0.9307
output.mp4,67439,67439,1208,0,Bactrocera dorsalis,enter,1,42,1300.07,812.1,0.9341
output.mp4,67454,67454,1220,0,Bactrocera dorsalis,enter,1,43,1324.61,681.78,0.9287
output.mp4,67460,67460,1208,0,Bactrocera dorsalis,exit,-1,42,1262.91,857.95,0.9287
output.mp4,67477,67477,1220,0,Bactrocera dorsalis,exit,-1,41,1184.47,572.4,0.9312
output.mp4,67489,67489,1208,0,Bactrocera dorsalis,enter,1,42,1296.53,821.39,0.9385
output.mp4,67507,67507,1220,0,Bactrocera dorsalis,enter,1,43,1113.59,592.95,0.8843
output.mp4,67600,67600,1215,0,Bactrocera dorsalis,enter,1,44,1317.59,656.71,0.9399
output.mp4,67646,67646,1212,0,Bactrocera dorsalis,exit,-1,43,1033.76,743.57,0.9204
output.mp4,67648,67648,1220,0,Bactrocera dorsalis,exit,-1,42,1053.24,650.4,0.8818
output.mp4,67713,67713,1215,0,Bactrocera dorsalis,exit,-1,41,1067.37,629.56,0.9321
output.mp4,67714,67714,1212,0,Bactrocera dorsalis,enter,1,42,1089.02,838.45,0.9395
output.mp4,67719,67719,1208,0,Bactrocera dorsalis,exit,-1,41,1033.83,726.74,0.8784
output.mp4,67727,67727,1208,0,Bactrocera dorsalis,enter,1,42,1034.58,720.7,0.8311
output.mp4,67729,67729,1208,0,Bactrocera dorsalis,exit,-1,41,1032.92,711.23,0.8716
output.mp4,67739,67739,1212,0,Bactrocera dorsalis,exit,-1,40,1081.82,836.07,0.9453
output.mp4,67808,67808,1212,0,Bactrocera dorsalis,enter,1,41,1039.75,765.13,0.9038
output.mp4,67827,67827,1215,0,Bactrocera dorsalis,enter,1,42,1059.43,642.57,0.9048
output.mp4,69462,69462,1261,0,Bactrocera dorsalis,enter,1,43,1079.68,828.72,0.9531
output.mp4,71600,71600,1273,0,Bactrocera dorsalis,enter,1,44,1225.53,868.11,0.9375
output.mp4,71629,71629,1273,0,Bactrocera dorsalis,exit,-1,43,1077.31,831.5,0.9502
output.mp4,72366,72366,1277,0,Bactrocera dorsalis,enter,1,44,1280.53,614.56,0.9087
output.mp4,72402,72402,1277,0,Bactrocera dorsalis,exit,-1,43,1241.98,577.49,0.9038
output.mp4,74070,74070,1274,0,Bactrocera dorsalis,enter,1,44,1231.65,583.17,0.9448
output.mp4,74090,74090,1274,0,Bactrocera dorsalis,exit,-1,43,1208.94,576.05,0.9365
output.mp4,74856,74856,1285,0,Bactrocera dorsalis,enter,1,44,1326.49,691.56,0.9326
output.mp4,75001,75001,1285,0,Bactrocera dorsalis,exit,-1,43,1331.77,750.18,0.9331
output.mp4,75413,75413,1282,0,Bactrocera dorsalis,enter,1,44,1302.73,636.97,0.9404
output.mp4,75588,75588,1282,0,Bactrocera dorsalis,exit,-1,43,1084.36,605.98,0.9141
output.mp4,77713,77713,1298,0,Bactrocera dorsalis,enter,1,44,1106.8,595.4,0.9331
output.mp4,77715,77715,1298,0,Bactrocera dorsalis,exit,-1,43,1106.8,595.39,0.9331
output.mp4,77722,77722,1298,0,Bactrocera dorsalis,enter,1,44,1105.77,596.56,0.9351
output.mp4,77813,77813,1298,0,Bactrocera dorsalis,exit,-1,43,1099.21,599.18,0.9312
output.mp4,77833,77833,1298,0,Bactrocera dorsalis,enter,1,44,1095.36,604.74,0.9243
output.mp4,80733,80733,1320,0,Bactrocera dorsalis,enter,1,45,1308.01,649.06,0.9468
output.mp4,80751,80751,1320,0,Bactrocera dorsalis,exit,-1,44,1229.9,577.51,0.9453
output.mp4,81804,81804,1323,0,Bactrocera dorsalis,enter,1,45,1313.55,790.55,0.9478
output.mp4,85631,85631,1332,0,Bactrocera dorsalis,enter,1,46,1325.08,762.32,0.9277
output.mp4,86057,86057,1339,0,Bactrocera dorsalis,enter,1,47,1278.75,607.98,0.9365
output.mp4,86078,86078,1332,0,Bactrocera dorsalis,exit,-1,46,1068.47,627.36,0.9282
output.mp4,86129,86129,1332,0,Bactrocera dorsalis,enter,1,47,1083.14,613.44,0.9224
output.mp4,86133,86133,1332,0,Bactrocera dorsalis,exit,-1,46,1089.99,607.01,0.9409
output.mp4,86141,86141,1332,0,Bactrocera dorsalis,enter,1,47,1091.38,606.23,0.9399
output.mp4,86280,86280,1339,0,Bactrocera dorsalis,exit,-1,46,1323.13,643.84,0.9424
output.mp4,86934,86934,1339,0,Bactrocera dorsalis,enter,1,47,1172.87,575.96,0.915
output.mp4,92962,92962,1367,0,Bactrocera dorsalis,enter,1,48,1300.05,644.6,0.9434
output.mp4,94883,94883,1373,0,Bactrocera dorsalis,enter,1,49,1326.93,732.83,0.9365
output.mp4,94933,94933,1373,0,Bactrocera dorsalis,exit,-1,48,1129.64,583.49,0.9243
output.mp4,94997,94997,1373,0,Bactrocera dorsalis,enter,1,49,1039.51,684.68,0.9214
output.mp4,98793,98793,1390,0,Bactrocera dorsalis,enter,1,50,1255.94,592.69,0.936
output.mp4,100599,100599,1393,0,Bactrocera dorsalis,exit,-1,49,1176.09,566.5,0.9341
output.mp4,101790,101790,1401,0,Bactrocera dorsalis,exit,-1,48,1133.2,582.05,0.9351
