video,video_frame,global_frame,track_id,cls_id,class_name,direction,delta,count_after,center_x,center_y,conf
16-20-44.mp4_fixed.mp4,193892,193892,1413,0,Bactrocera dorsalis,enter,1,98,1313.63,798.37,0.9556
16-20-44.mp4_fixed.mp4,194267,194267,1413,0,Bactrocera dorsalis,exit,-1,97,1310.39,642.97,0.9604
16-20-44.mp4_fixed.mp4,194297,194297,1415,0,Bactrocera dorsalis,exit,-1,96,1033.99,742.36,0.9219
16-20-44.mp4_fixed.mp4,194358,194358,1413,0,Bactrocera dorsalis,enter,1,97,1292.62,622.63,0.9414
16-20-44.mp4_fixed.mp4,194364,194364,1415,0,Bactrocera dorsalis,enter,1,98,1090.34,840.36,0.9404
16-20-44.mp4_fixed.mp4,194387,194387,1415,0,Bactrocera dorsalis,exit,-1,97,1109.91,854.91,0.9331
16-20-44.mp4_fixed.mp4,194404,194404,1415,0,Bactrocera dorsalis,enter,1,98,1166.5,870.21,0.9399
16-20-44.mp4_fixed.mp4,194430,194430,1413,0,Bactrocera dorsalis,exit,-1,97,1253.79,590.04,0.4016
16-20-44.mp4_fixed.mp4,194461,194461,1415,0,Bactrocera dorsalis,exit,-1,96,1276.99,600.73,0.9531
16-20-44.mp4_fixed.mp4,194570,194570,1415,0,Bactrocera dorsalis,enter,1,97,1093.32,605.0,0.937
16-20-44.mp4_fixed.mp4,196694,196694,1435,0,Bactrocera dorsalis,enter,1,98,1103.23,848.58,0.6206
16-20-44.mp4_fixed.mp4,197264,197264,1438,0,Bactrocera dorsalis,enter,1,99,1131.22,860.33,0.9551
16-20-44.mp4_fixed.mp4,199275,199275,1450,0,Bactrocera dorsalis,enter,1,100,1130.51,584.9,0.9336
16-20-44.mp4_fixed.mp4,199324,199324,1450,0,Bactrocera dorsalis,exit,-1,99,1112.05,592.28,0.938
16-20-44.mp4_fixed.mp4,199768,199768,1450,0,Bactrocera dorsalis,enter,1,100,1055.18,800.67,0.9258
16-20-44.mp4_fixed.mp4,203676,203676,1456,0,Bactrocera dorsalis,enter,1,101,1318.45,665.61,0.9282
16-20-44.mp4_fixed.mp4,210459,210459,1470,0,Bactrocera dorsalis,enter,1,102,1330.29,694.43,0.9424
16-20-44.mp4_fixed.mp4,210540,210540,1469,0,Bactrocera dorsalis,enter,1,103,1096.45,605.53,0.9307
16-20-44.mp4_fixed.mp4,215462,215462,1480,0,Bactrocera dorsalis,enter,1,104,1246.72,850.83,0.9272
16-20-44.mp4_fixed.mp4,216252,216252,1483,0,Bactrocera dorsalis,enter,1,105,1324.08,671.33,0.9473
16-20-44.mp4_fixed.mp4,216345,216345,1480,0,Bactrocera dorsalis,exit,-1,104,1142.77,873.21,0.915
16-20-44.mp4_fixed.mp4,216916,216916,1487,0,Bactrocera dorsalis,enter,1,105,1062.7,810.9,0.9194
16-20-44.mp4_fixed.mp4,217147,217147,1492,0,Bactrocera dorsalis,enter,1,106,1035.68,710.02,0.7534
16-20-44.mp4_fixed.mp4,217919,217919,1509,0,Bactrocera dorsalis,enter,1,107,1061.07,640.4,0.894
16-20-44.mp4_fixed.mp4,218102,218102,1517,0,Bactrocera dorsalis,enter,1,108,1049.8,790.1,0.9404
16-20-44.mp4_fixed.mp4,229671,229671,1536,0,Bactrocera dorsalis,enter,1,109,1061.15,809.49,0.9424
16-20-44.mp4_fixed.mp4,230134,230134,1543,0,Bactrocera dorsalis,enter,1,110,1046.09,766.02,0.9346
16-20-44.mp4_fixed.mp4,230169,230169,1549,0,Bactrocera dorsalis,enter,1,111,1074.74,623.53,0.9243
16-20-44.mp4_fixed.mp4,230276,230276,1551,0,Bactrocera dorsalis,enter,1,112,1036.54,749.06,0.9067
16-20-44.mp4_fixed.mp4,236607,236607,1559,0,Bactrocera dorsalis,enter,1,113,1076.27,620.23,0.8174
16-20-44.mp4_fixed.mp4,237088,237088,1560,0,Bactrocera dorsalis,enter,1,114,1038.79,696.53,0.9263
16-20-44.mp4_fixed.mp4,237147,237147,1560,0,Bactrocera dorsalis,exit,-1,113,1088.75,840.27,0.9565
16-20-44.mp4_fixed.mp4,237154,237154,1560,0,Bactrocera dorsalis,enter,1,114,1101.82,848.18,0.9453
16-20-44.mp4_fixed.mp4,237160,237160,1560,0,Bactrocera dorsalis,exit,-1,113,1160.65,873.62,0.9419
16-20-44.mp4_fixed.mp4,237237,237237,1569,0,Bactrocera dorsalis,enter,1,114,1074.83,822.81,0.938
16-20-44.mp4_fixed.mp4,237277,237277,1560,0,Bactrocera dorsalis,enter,1,115,1053.6,782.26,0.939
16-20-44.mp4_fixed.mp4,237298,237298,1569,0,Bactrocera dorsalis,exit,-1,114,1333.5,707.33,0.9468
16-20-44.mp4_fixed.mp4,237376,237376,1569,0,Bactrocera dorsalis,enter,1,115,1320.33,765.08,0.9458
16-20-44.mp4_fixed.mp4,237517,237517,1570,0,Bactrocera dorsalis,enter,1,116,1318.7,661.3,0.9463
16-20-44.mp4_fixed.mp4,237635,237635,1572,0,Bactrocera dorsalis,enter,1,117,1034.26,721.86,0.9463
16-20-44.mp4_fixed.mp4,237990,237990,1581,0,Bactrocera dorsalis,enter,1,118,1119.62,855.97,0.936
16-20-44.mp4_fixed.mp4,237995,237995,1581,0,Bactrocera dorsalis,exit,-1,117,1132.52,866.46,0.9468
16-20-44.mp4_fixed.mp4,238000,238000,1581,0,Bactrocera dorsalis,enter,1,118,1139.42,866.25,0.9419
16-20-44.mp4_fixed.mp4,238432,238432,1584,0,Bactrocera dorsalis,enter,1,119,1285.31,613.74,0.9517
16-20-44.mp4_fixed.mp4,238644,238644,1584,0,Bactrocera dorsalis,exit,-1,118,1138.21,870.72,0.9365
16-20-44.mp4_fixed.mp4,238720,238720,1584,0,Bactrocera dorsalis,enter,1,119,1146.96,862.75,0.9419
16-20-44.mp4_fixed.mp4,240976,240976,1588,0,Bactrocera dorsalis,enter,1,120,1048.65,787.06,0.9375
16-20-44.mp4_fixed.mp4,248856,248856,1591,0,Bactrocera dorsalis,enter,1,121,1313.28,795.12,0.937
16-20-44.mp4_fixed.mp4,260909,260909,1595,0,Bactrocera dorsalis,enter,1,122,1053.29,795.13,0.9482
16-20-44.mp4_fixed.mp4,262450,262450,1595,0,Bactrocera dorsalis,exit,-1,121,1043.61,790.62,0.916
16-20-44.mp4_fixed.mp4,266238,266238,1598,0,Bactrocera dorsalis,enter,1,122,1079.9,616.16,0.9375
16-20-44.mp4_fixed.mp4,270141,270141,1607,0,Bactrocera dorsalis,enter,1,123,1133.12,859.79,0.9448
16-20-44.mp4_fixed.mp4,270737,270737,1610,0,Bactrocera dorsalis,enter,1,124,1066.1,633.75,0.9365
16-20-44.mp4_fixed.mp4,271253,271253,1610,0,Bactrocera dorsalis,exit,-1,123,1035.66,695.68,0.9478
16-20-44.mp4_fixed.mp4,271259,271259,1610,0,Bactrocera dorsalis,enter,1,124,1036.82,714.84,0.9292
16-20-44.mp4_fixed.mp4,271275,271275,1610,0,Bactrocera dorsalis,exit,-1,123,1041.79,771.96,0.9438
16-20-44.mp4_fixed.mp4,274630,274630,1621,0,Bactrocera dorsalis,enter,1,124,1313.74,668.86,0.9448
16-20-44.mp4_fixed.mp4,274871,274871,1621,0,Bactrocera dorsalis,exit,-1,123,1084.48,837.28,0.9414
16-20-44.mp4_fixed.mp4,274950,274950,1621,0,Bactrocera dorsalis,enter,1,124,1090.99,607.23,0.938
16-20-44.mp4_fixed.mp4,277138,277138,1634,0,Bactrocera dorsalis,enter,1,125,1034.99,737.98,0.8975
