video,video_frame,global_frame,track_id,logical_track_id,cls_id,class_name,detected_cls_id,voted_cls_id,direction,delta,count_after,center_x,center_y,conf,stitched,stitch_gap_frames,event_reason,occupancy_token_id,recovered_from_logical_id,recovery_score,recovery_track_class_id,recovery_class_match
08-41-24.mp4,51568,51568,4874,813,1,Bactrocera dorsalis,0,1,exit,-1,6,1346.0,755.44,0.8154,0,0,recovered_exit,37,837,0.9480917946247194,1,1
08-41-24.mp4,52090,52090,4874,813,1,Bactrocera dorsalis,0,1,enter,1,7,1316.12,750.59,0.7842,0,0,tracked_enter,39,,,,
08-41-24.mp4,52361,52361,4874,813,1,Bactrocera dorsalis,0,1,exit,-1,6,1346.95,755.97,0.8428,0,0,tracked_exit,39,813,,,
08-41-24.mp4,52559,52559,4874,813,1,Bactrocera dorsalis,0,1,enter,1,7,1315.77,749.74,0.832,0,0,tracked_enter,40,,,,
08-41-24.mp4,52607,52607,4874,813,1,Bactrocera dorsalis,0,1,exit,-1,6,1345.48,762.96,0.8843,0,0,tracked_exit,40,813,,,
08-41-24.mp4,55004,55004,5120,862,0,Bactrocera correcta,0,0,enter,1,6,1317.88,736.64,0.8408,0,0,tracked_enter,41,,,,
08-41-24.mp4,55669,55669,5122,863,0,Bactrocera correcta,1,0,exit,-1,5,1172.36,558.93,0.8398,0,0,recovered_exit,35,799,0.877372434055429,0,1
08-41-24.mp4,55708,55708,5238,893,0,Bactrocera correcta,0,0,enter,1,6,1261.14,614.4,0.8672,0,0,tracked_enter,42,,,,
08-41-24.mp4,55777,55777,5238,893,0,Bactrocera correcta,0,0,exit,-1,5,1285.12,592.65,0.8242,0,0,tracked_exit,42,893,,,
08-41-24.mp4,55837,55837,5238,893,0,Bactrocera correcta,0,0,enter,1,6,1265.08,621.03,0.8887,0,0,tracked_enter,43,,,,
08-41-24.mp4,57444,57444,5389,919,1,Bactrocera dorsalis,1,1,enter,1,7,1096.24,623.35,0.8799,0,0,tracked_enter,44,,,,
08-41-24.mp4,57752,57752,5410,923,1,Bactrocera dorsalis,0,1,exit,-1,6,1302.04,843.83,0.8696,0,0,recovered_exit,15,334,0.9071625418701048,1,1
08-41-24.mp4,59197,59197,5410,923,0,Bactrocera correcta,0,0,enter,1,7,1289.94,645.13,0.8164,0,0,tracked_enter,45,,,,
08-41-24.mp4,59485,59485,5410,923,0,Bactrocera correcta,0,0,exit,-1,6,1240.96,879.38,0.8081,1,1,tracked_exit,45,923,,,
08-41-24.mp4,59996,59996,5397,921,0,Bactrocera correcta,1,0,enter,1,7,1171.4,593.34,0.4902,0,0,tracked_enter,46,,,,
08-41-24.mp4,60292,60292,5636,977,1,Bactrocera dorsalis,1,1,enter,1,7,1121.68,606.3,0.8633,0,0,tracked_enter,47,,,,
08-41-24.mp4,60420,60420,5669,921,0,Bactrocera correcta,1,0,exit,-1,6,1201.74,559.82,0.8174,1,3,tracked_exit,46,921,,,
08-41-24.mp4,60779,60779,5669,921,0,Bactrocera correcta,0,0,enter,1,7,1223.29,596.3,0.5815,1,3,tracked_enter,48,,,,
08-41-24.mp4,61164,61164,5782,1009,0,Bactrocera correcta,0,0,exit,-1,6,1278.9,588.79,0.8862,0,0,recovered_exit,41,862,0.907832422171174,0,1
08-41-24.mp4,61241,61241,5782,1009,0,Bactrocera correcta,0,0,enter,1,7,1218.63,593.67,0.8447,0,0,tracked_enter,49,,,,
08-41-24.mp4,61279,61279,5782,1009,0,Bactrocera correcta,0,0,exit,-1,6,1224.08,563.69,0.8613,0,0,tracked_exit,49,1009,,,
08-41-24.mp4,61608,61608,5732,993,1,Bactrocera dorsalis,1,1,enter,1,8,1256.4,610.12,0.8843,0,0,tracked_enter,50,,,,
08-41-24.mp4,63179,63179,5862,1027,1,Bactrocera dorsalis,1,1,enter,1,9,1240.12,601.24,0.8706,1,2,tracked_enter,51,,,,
08-41-24.mp4,63288,63288,5862,1027,1,Bactrocera dorsalis,1,1,exit,-1,8,1267.21,581.41,0.8809,1,2,tracked_exit,51,1027,,,
08-41-24.mp4,63579,63579,5862,1027,1,Bactrocera dorsalis,1,1,enter,1,9,1262.38,615.02,0.8682,1,2,tracked_enter,52,,,,
08-41-24.mp4,63682,63682,5862,1027,1,Bactrocera dorsalis,1,1,exit,-1,8,1144.08,560.1,0.8389,1,2,tracked_exit,52,1027,,,
08-41-24.mp4,65544,65544,6057,1072,1,Bactrocera dorsalis,1,1,exit,-1,7,1323.91,628.47,0.8955,1,3,recovered_exit,50,993,0.903223889208655,1,1
08-41-24.mp4,67972,67972,5879,1031,0,Bactrocera correcta,0,0,enter,1,7,1274.68,634.59,0.8823,0,0,tracked_enter,53,,,,
08-41-24.mp4,67980,67980,6501,1135,1,Bactrocera dorsalis,0,1,enter,1,8,1206.71,594.86,0.8613,0,0,tracked_enter,54,,,,
08-41-24.mp4,67981,67981,5879,1031,0,Bactrocera correcta,0,0,exit,-1,6,1336.6,649.97,0.8579,0,0,tracked_exit,53,1031,,,
08-41-24.mp4,68139,68139,6527,1140,1,Bactrocera dorsalis,0,1,enter,1,9,1096.25,635.75,0.8613,0,0,tracked_enter,55,,,,
08-41-24.mp4,68347,68347,6595,1140,1,Bactrocera dorsalis,0,1,exit,-1,8,1013.03,708.97,0.874,1,5,tracked_exit,55,1140,,,
